Dates,MXUS0TC Index,MXUS0CD Index,MXUS0CS Index,MXUS0EN Index,MXUS0FN Index,MXUS0HC Index,MXUS0IN Index,MXUS0IT Index,MXUS0MT Index,MXUS0RE Index,MXUS0UT Index
1995-01-02,36.05,40.23,38.33,51.05,32.19,26.76,43.12,21.46,71.46,57.5,61.61
1995-01-03,35.97,40.1,38.41,51.08,32.37,26.71,43.22,21.21,71.36,58.937,61.92
1995-01-04,35.99,40.43,38.29,51.44,32.6,26.77,43.23,21.3,71.5,59.501,62.31
1995-01-05,35.89,40.55,37.92,51.51,32.56,26.74,43.35,21.26,71.66,58.771,62.11
1995-01-06,35.58,40.57,37.91,51.41,32.67,26.65,43.57,21.5,72.42,59.006,62.24
1995-01-09,35.62,40.5,37.84,51.21,32.69,26.42,43.58,21.64,72.65,58.276,62.17
1995-01-10,35.57,40.32,37.81,51.08,32.76,26.49,43.74,22.09,72.81,57.512,62.22
1995-01-11,35.44,40.44,37.74,50.49,32.71,26.55,43.83,22.03,73.12,57.512,62.02
1995-01-12,35.25,40.47,37.9,50.49,32.58,26.36,43.85,22.2,72.98,57.512,62.15
1995-01-13,35.7,40.84,38.2,50.82,33.34,26.61,44.15,22.36,73.42,57.617,62.47
1995-01-16,36.14,40.99,38.37,50.7,33.98,26.86,44.59,22.57,73.66,57.808,63.1
1995-01-17,36.09,40.9,38.47,51.21,33.72,26.99,44.63,22.62,73.88,58.197,63.37
1995-01-18,35.9,40.61,38.18,51.84,33.44,27.1,44.63,22.68,74.14,57.267,63.37
1995-01-19,35.84,40.38,38.02,51.87,33.02,27.03,44.09,22.65,73.67,57.207,63.12
1995-01-20,35.74,40.23,37.95,52.19,32.82,26.98,43.83,22.19,73.09,57.207,63.46
1995-01-23,35.87,40.23,38.22,52.68,33.0,27.14,43.65,22.16,72.43,56.017,63.67
1995-01-24,36.08,40.28,38.11,52.36,33.01,27.09,43.66,22.25,72.62,56.537,63.82
1995-01-25,36.75,40.38,38.32,52.65,33.3,27.17,43.79,21.95,72.63,56.582,64.19
1995-01-26,36.86,40.37,38.72,52.78,33.46,27.39,43.85,21.7,71.83,56.546,64.31
1995-01-27,37.29,40.72,39.26,52.49,33.95,27.68,43.66,21.81,70.5,56.902,64.75
1995-01-30,37.12,40.66,39.35,51.95,33.93,27.95,43.52,21.48,68.98,56.382,64.99
1995-01-31,37.32,40.84,39.4,51.76,33.98,28.41,43.6,21.55,69.01,56.382,65.46
1995-02-01,37.07,41.17,39.27,51.58,33.9,28.25,43.59,21.79,69.61,56.382,65.34
1995-02-02,37.07,41.45,39.53,51.65,34.16,28.21,43.86,21.99,69.99,55.652,65.6
1995-02-03,37.73,41.87,39.96,52.07,35.14,28.38,44.41,22.15,70.9,57.308,66.23
1995-02-06,37.94,42.06,40.23,52.32,35.34,28.7,44.57,22.36,71.07,58.072,66.23
1995-02-07,37.83,42.21,40.28,52.15,35.27,28.57,44.5,22.31,71.53,58.336,66.18
1995-02-08,37.99,42.25,40.13,52.25,35.33,28.52,44.43,22.5,71.43,59.067,66.0
1995-02-09,37.9,42.22,39.9,51.93,35.08,28.39,44.55,22.74,71.45,58.973,65.28
1995-02-10,38.11,42.37,40.07,51.82,34.93,28.37,44.74,22.84,71.58,58.807,65.17
1995-02-13,37.89,42.47,39.98,52.14,34.9,28.3,44.99,22.8,72.17,58.608,65.01
1995-02-14,37.84,42.48,40.09,52.37,35.17,28.25,44.96,22.85,72.4,58.973,65.15
1995-02-15,37.92,42.6,40.06,52.75,35.34,28.23,45.49,22.93,73.09,59.842,65.45
1995-02-16,37.44,42.63,40.33,52.92,35.27,28.22,45.57,23.3,72.96,59.676,65.35
1995-02-17,36.96,42.29,40.14,52.78,35.17,28.36,45.26,22.78,72.43,59.722,65.22
1995-02-20,36.96,42.29,40.14,52.78,35.17,28.36,45.26,22.78,72.43,59.722,65.22
1995-02-21,36.74,42.36,40.09,53.3,34.99,28.29,45.36,22.75,72.81,59.939,65.36
1995-02-22,37.26,42.49,40.12,53.38,35.17,28.51,45.8,22.9,72.68,60.304,65.81
1995-02-23,37.53,42.59,40.42,53.22,35.67,28.76,46.05,22.81,72.97,60.588,65.59
1995-02-24,37.68,42.62,40.77,53.09,35.82,28.86,45.96,22.75,73.0,60.824,65.66
1995-02-27,37.27,42.14,40.46,53.06,35.53,28.68,45.46,22.58,72.64,61.421,65.28
1995-02-28,37.5,42.35,40.61,53.39,35.72,28.9,45.94,23.02,73.05,61.44,65.53
1995-03-01,37.1,42.26,40.56,53.25,35.58,28.88,45.69,23.05,72.59,62.01,64.75
1995-03-02,37.1,42.33,40.54,53.33,35.6,28.91,45.35,23.22,71.87,62.37,64.14
1995-03-03,37.0,42.26,40.72,53.29,35.42,28.83,45.38,23.63,71.82,61.709,64.11
1995-03-06,36.78,42.0,41.07,53.74,35.25,29.05,45.23,23.68,71.48,60.613,63.6
1995-03-07,36.61,41.86,40.65,53.56,34.74,28.83,44.93,23.47,71.05,60.284,63.13
1995-03-08,36.64,41.86,40.71,54.22,34.73,28.81,45.06,23.64,71.17,60.754,63.45
1995-03-09,36.74,41.88,40.71,54.15,34.65,28.66,45.16,23.73,71.12,60.093,63.16
1995-03-10,37.53,42.46,41.47,54.53,35.16,28.85,46.07,23.87,72.04,61.084,63.74
1995-03-13,37.08,42.51,41.49,54.32,35.09,29.15,45.99,24.07,72.0,60.788,63.55
1995-03-14,37.75,42.62,41.83,53.99,35.31,29.44,46.41,24.25,72.36,61.213,63.91
1995-03-15,37.67,42.45,41.86,53.82,35.35,29.48,45.94,24.11,72.57,61.213,63.65
1995-03-16,38.12,42.69,42.14,54.24,35.59,29.77,46.47,24.19,72.61,60.259,63.98
1995-03-17,38.01,42.6,42.3,54.36,35.41,30.11,46.45,24.03,72.89,60.389,63.8
1995-03-20,38.0,42.6,42.54,54.34,35.4,30.32,46.47,24.21,73.06,60.555,63.31
1995-03-21,37.54,42.52,42.64,53.94,35.22,30.31,46.42,24.16,72.92,60.555,63.08
1995-03-22,37.81,42.45,42.63,54.56,35.32,30.27,46.28,24.2,73.1,59.99,62.97
1995-03-23,37.69,42.27,42.46,54.67,35.3,30.21,46.3,24.39,73.62,59.99,62.93
1995-03-24,38.32,42.81,42.63,54.98,35.67,30.31,46.84,24.75,74.58,60.721,63.77
1995-03-27,38.39,42.89,42.6,55.32,36.06,30.48,47.12,24.92,74.62,61.615,63.85
1995-03-28,38.5,43.14,42.44,55.01,36.09,30.57,47.14,25.06,75.33,62.841,63.56
1995-03-29,38.36,43.37,42.31,55.1,36.07,30.22,47.46,24.68,75.8,62.971,63.72
1995-03-30,38.14,43.54,41.94,55.09,35.95,29.68,47.68,24.33,77.03,62.675,64.01
1995-03-31,37.69,43.42,41.67,55.76,35.81,29.6,47.43,24.22,76.68,64.266,63.96
1995-04-03,37.79,43.56,41.98,55.15,35.85,29.86,47.65,24.41,76.51,62.91,64.02
1995-04-04,38.25,43.51,42.48,55.75,36.25,30.16,47.96,24.2,77.19,61.413,65.21
1995-04-05,38.1,43.5,42.46,56.01,36.3,30.02,47.73,24.34,77.83,61.449,65.74
1995-04-06,38.21,43.24,42.64,55.32,36.79,29.99,47.95,24.24,78.04,61.144,65.73
1995-04-07,38.16,43.27,42.72,55.01,36.86,29.92,47.92,24.43,77.37,60.853,65.91
1995-04-10,38.18,43.29,42.84,55.07,36.82,30.05,47.82,24.8,77.47,60.418,65.69
1995-04-11,38.06,43.02,42.55,54.95,36.6,30.19,47.67,24.98,77.26,60.057,65.5
1995-04-12,38.04,43.32,42.81,54.96,36.59,30.29,47.98,25.08,77.34,59.526,65.31
1995-04-13,38.09,43.44,42.84,55.01,36.82,30.68,48.18,25.28,77.07,58.84,65.62
1995-04-14,38.09,43.44,42.84,55.01,36.82,30.68,48.18,25.28,77.07,58.84,65.62
1995-04-17,37.53,43.29,42.28,54.97,36.72,30.52,47.92,25.38,76.41,58.48,64.68
1995-04-18,37.22,42.92,42.41,55.52,36.76,30.42,47.73,25.31,75.57,57.729,64.89
1995-04-19,37.56,43.01,42.47,55.67,36.72,29.8,47.96,25.02,75.86,58.558,65.18
1995-04-20,37.25,42.93,42.37,56.76,36.65,29.7,47.92,25.14,76.47,58.39,65.32
1995-04-21,37.24,43.07,42.77,56.75,36.67,30.0,48.35,25.45,76.94,60.386,65.36
1995-04-24,37.37,43.23,43.09,56.98,36.93,30.48,48.73,26.05,77.61,61.64,65.78
1995-04-25,37.76,42.9,42.86,57.43,36.85,30.14,48.62,26.32,77.42,60.944,65.62
1995-04-26,37.83,42.79,42.79,57.26,36.95,30.22,48.7,26.69,77.24,60.739,65.53
1995-04-27,37.97,42.92,42.67,57.39,37.17,30.03,48.91,26.81,77.74,60.981,65.61
1995-04-28,38.19,43.05,42.95,57.29,37.02,30.29,48.68,26.92,77.81,61.009,65.74
1995-05-01,38.16,42.65,42.87,58.82,36.91,30.23,48.71,26.7,77.77,61.882,65.53
1995-05-02,38.23,42.68,43.17,58.61,36.91,30.3,48.75,26.67,78.04,61.436,65.45
1995-05-03,38.41,43.28,43.96,58.7,37.26,30.68,49.1,27.31,78.21,61.742,65.93
1995-05-04,38.5,43.12,43.84,58.79,37.6,30.6,49.11,27.41,77.98,61.862,66.04
1995-05-05,38.31,43.13,43.86,58.85,37.97,30.64,48.88,27.1,77.63,62.253,66.49
1995-05-08,38.83,43.37,44.32,58.88,38.35,30.69,49.27,27.35,78.57,63.544,66.46
1995-05-09,38.97,43.34,44.28,58.4,38.48,30.59,49.45,27.28,78.44,63.266,66.72
1995-05-10,38.8,43.63,44.3,58.48,38.66,30.52,49.61,27.25,78.85,62.691,66.7
1995-05-11,38.62,44.13,44.22,57.87,38.57,30.58,49.59,27.54,79.52,62.57,66.29
1995-05-12,38.85,44.74,43.6,57.86,38.62,29.89,49.95,27.68,80.22,62.812,66.63
1995-05-15,38.74,45.01,43.53,58.44,39.02,29.66,49.81,28.02,80.68,62.418,67.1
1995-05-16,38.22,44.78,43.31,59.08,39.13,29.79,49.88,28.19,81.07,63.387,67.6
1995-05-17,37.96,44.54,43.31,59.13,38.87,29.82,49.82,28.43,80.08,63.777,67.28
1995-05-18,37.19,43.87,42.63,58.47,38.45,29.33,48.96,27.95,78.88,62.812,66.51
1995-05-19,37.37,43.88,42.91,58.01,38.2,29.58,48.73,27.9,79.11,62.357,66.41
1995-05-22,37.74,44.27,43.21,58.17,38.58,29.82,49.36,28.35,79.58,61.517,66.68
1995-05-23,37.49,44.51,43.71,58.9,39.06,30.15,49.59,29.01,80.69,61.52,66.82
1995-05-24,37.26,44.22,43.85,59.0,39.34,30.48,49.38,28.88,80.62,61.066,67.0
1995-05-25,37.33,44.06,44.06,58.79,39.21,30.7,48.98,28.98,79.66,60.954,68.29
1995-05-26,36.92,43.95,43.58,57.87,38.89,30.46,48.52,28.41,78.96,59.505,68.15
1995-05-29,36.92,43.95,43.58,57.87,38.89,30.46,48.52,28.41,78.96,59.505,68.15
1995-05-30,37.32,44.03,43.86,58.4,38.96,30.47,48.77,27.38,78.8,60.164,68.92
1995-05-31,38.12,44.84,45.01,59.17,39.57,31.13,49.79,27.71,79.86,60.555,69.97
1995-06-01,38.03,44.75,44.67,59.2,39.71,31.26,49.63,28.12,79.96,60.555,69.65
1995-06-02,37.94,44.62,44.59,58.57,40.33,31.28,49.01,28.16,78.9,59.115,70.2
1995-06-05,38.17,44.92,44.54,58.78,40.48,31.54,49.69,28.22,79.77,59.236,70.8
1995-06-06,38.0,45.05,44.58,58.87,40.42,31.78,49.74,27.91,80.36,59.44,70.83
1995-06-07,37.63,44.87,44.49,58.83,39.85,31.68,49.66,27.91,80.37,59.432,69.96
1995-06-08,37.76,44.86,44.43,58.66,39.4,31.69,49.62,28.09,80.33,60.277,69.07
1995-06-09,37.59,44.59,43.97,58.3,38.81,31.41,49.11,28.05,79.61,60.58,68.26
1995-06-12,37.87,45.04,44.24,58.41,38.99,31.5,49.61,28.07,79.95,61.15,68.78
1995-06-13,38.26,45.58,44.31,58.64,39.73,31.9,50.16,28.33,80.03,61.42,69.45
1995-06-14,38.37,45.69,44.53,58.72,39.61,31.78,50.21,28.51,79.52,61.726,69.06
1995-06-15,38.5,45.67,44.75,59.03,39.47,31.75,50.21,28.86,79.61,62.506,68.74
1995-06-16,39.11,45.77,45.2,59.3,39.41,32.0,50.18,29.13,79.87,61.42,68.64
1995-06-19,39.49,46.07,45.48,59.02,40.12,32.05,50.71,29.97,80.64,62.052,69.12
1995-06-20,39.37,45.99,45.52,58.0,40.25,31.9,50.41,30.61,80.6,62.386,69.01
1995-06-21,39.23,46.12,45.65,57.09,40.44,32.47,50.21,30.32,80.62,62.711,68.68
1995-06-22,39.92,46.47,46.21,57.06,40.95,33.11,50.6,30.8,82.25,62.386,69.91
1995-06-23,39.71,46.33,45.98,57.48,40.76,32.94,50.48,30.72,82.29,62.117,69.39
1995-06-26,39.06,45.52,45.86,57.18,40.32,32.54,50.22,30.31,81.76,61.791,68.89
1995-06-27,39.42,45.59,45.62,57.69,39.94,32.05,50.19,29.75,81.59,61.338,69.05
1995-06-28,39.35,45.96,45.65,58.46,40.24,32.36,50.17,29.69,81.83,62.057,69.76
1995-06-29,39.11,45.82,45.53,58.1,39.96,32.39,49.87,30.14,82.44,60.623,69.2
1995-06-30,39.31,46.19,45.52,57.33,39.89,32.29,50.18,30.15,83.12,61.587,68.9
1995-07-03,39.57,46.27,45.68,57.71,40.01,32.48,50.31,30.4,83.6,61.81,68.94
1995-07-04,39.57,46.27,45.68,57.71,40.01,32.48,50.31,30.4,83.6,61.81,68.94
1995-07-05,39.54,46.43,45.45,57.4,40.07,32.12,50.87,30.52,84.63,62.404,68.77
1995-07-06,40.2,46.89,45.7,58.22,40.51,32.12,51.68,31.19,85.88,63.304,69.44
1995-07-07,40.05,47.0,45.08,58.28,40.92,31.29,52.64,31.8,88.17,64.0,68.9
1995-07-10,39.45,46.89,45.02,58.02,41.02,31.49,52.9,32.17,88.7,64.185,68.69
1995-07-11,39.51,46.55,45.18,58.23,40.85,31.75,52.52,31.7,87.31,64.16,68.66
1995-07-12,39.97,46.88,45.68,58.66,41.21,31.83,52.84,32.75,88.53,64.12,68.83
1995-07-13,39.68,46.83,45.41,58.79,41.31,32.29,52.72,33.08,88.25,64.85,68.61
1995-07-14,39.44,47.01,45.22,58.6,41.06,32.28,52.47,33.36,87.63,65.008,68.24
1995-07-17,39.55,47.34,45.28,58.84,40.89,32.47,52.8,34.02,87.86,65.8,68.36
1995-07-18,39.37,46.94,45.29,58.55,40.74,32.72,52.29,32.98,86.69,64.744,68.45
1995-07-19,39.5,46.5,45.15,58.68,40.07,32.54,51.29,31.17,85.33,62.499,67.97
1995-07-20,40.22,46.93,44.97,58.82,40.29,32.26,51.89,31.37,85.99,64.226,68.26
1995-07-21,40.09,47.14,45.15,58.98,39.94,32.43,52.07,31.2,85.76,63.41,68.12
1995-07-24,40.14,47.01,45.22,59.09,40.21,32.51,52.19,32.01,86.01,63.021,68.49
1995-07-25,40.35,47.62,45.46,58.81,40.78,32.74,52.62,32.68,86.06,62.142,68.76
1995-07-26,40.36,47.48,45.98,59.24,40.92,32.89,52.28,32.8,85.19,62.466,68.68
1995-07-27,40.33,47.65,45.74,59.24,41.24,33.37,52.93,33.16,85.71,64.86,69.16
1995-07-28,40.57,47.39,45.71,58.57,41.21,33.42,52.75,32.62,85.47,64.922,68.83
1995-07-31,40.3,47.62,45.49,59.05,41.21,33.61,52.67,32.12,85.27,64.487,68.79
1995-08-01,39.86,47.65,45.7,58.64,40.88,33.54,52.5,31.66,85.29,64.945,68.62
1995-08-02,40.57,47.62,45.73,58.58,41.05,33.43,52.06,31.03,85.36,64.487,68.61
1995-08-03,40.64,47.37,45.57,58.5,41.14,33.22,52.12,31.27,85.74,64.312,68.4
1995-08-04,40.46,47.27,45.79,58.42,41.14,33.38,52.08,31.53,85.49,64.684,68.56
1995-08-07,40.38,47.38,45.84,58.25,41.31,33.39,52.32,31.71,85.97,64.684,68.6
1995-08-08,40.39,47.41,45.9,58.0,41.43,33.24,52.31,31.94,85.66,65.137,68.49
1995-08-09,40.41,47.12,45.69,58.2,41.24,33.34,52.12,32.37,85.05,66.745,68.11
1995-08-10,40.36,47.04,45.69,57.75,41.31,33.31,51.77,32.08,84.45,65.596,68.02
1995-08-11,40.05,46.78,45.34,57.21,41.02,32.95,51.59,32.38,84.14,65.715,67.96
1995-08-14,40.27,47.14,45.64,57.37,41.15,33.33,52.13,32.88,84.39,64.526,68.03
1995-08-15,40.29,47.08,45.44,57.01,41.28,33.03,52.08,32.91,84.04,63.711,67.89
1995-08-16,40.36,47.2,45.11,56.47,41.5,32.81,52.1,33.58,84.78,64.13,68.53
1995-08-17,40.14,47.21,44.88,56.44,41.48,32.63,51.98,33.6,84.72,64.922,68.46
1995-08-18,40.35,47.08,44.68,56.61,41.81,32.64,51.92,33.39,84.68,64.407,68.55
1995-08-21,40.81,46.98,44.81,56.83,41.85,32.84,52.14,32.15,84.98,64.708,68.5
1995-08-22,40.92,46.89,44.85,56.87,41.95,32.85,52.13,32.82,85.03,64.827,68.58
1995-08-23,40.56,46.5,44.7,56.76,41.67,32.94,51.81,32.77,84.32,64.464,68.35
1995-08-24,40.79,46.51,45.05,56.5,41.84,33.06,51.8,32.38,84.14,64.345,68.32
1995-08-25,41.63,46.77,45.29,57.08,42.51,33.06,52.1,31.93,84.43,64.345,68.94
1995-08-28,41.47,46.36,45.33,56.89,43.06,33.03,52.18,31.11,84.32,64.368,68.87
1995-08-29,41.77,46.54,45.47,56.87,43.09,33.06,52.29,31.26,84.22,66.167,68.59
1995-08-30,42.19,46.4,45.47,56.9,43.23,33.28,52.26,31.42,83.99,65.675,68.34
1995-08-31,42.39,46.31,45.39,57.08,43.18,33.27,52.32,31.83,83.87,65.794,68.29
1995-09-01,42.21,46.61,45.46,58.12,43.32,33.16,52.64,31.53,84.38,65.89,68.64
1995-09-04,42.21,46.61,45.46,58.12,43.32,33.16,52.64,31.53,84.38,65.89,68.64
1995-09-05,42.22,46.85,45.52,58.53,43.63,33.27,53.05,32.55,85.38,66.286,68.68
1995-09-06,42.19,47.05,45.76,58.16,43.61,33.44,53.46,32.65,85.92,71.063,68.4
1995-09-07,42.04,47.11,45.6,58.54,43.49,33.46,53.35,32.84,86.03,69.874,68.4
1995-09-08,42.23,47.27,45.6,58.59,43.82,33.59,53.42,33.03,86.96,70.604,68.51
1995-09-11,42.17,47.39,45.88,58.74,43.98,33.57,53.26,33.17,87.52,71.142,68.42
1995-09-12,42.31,47.51,46.38,59.48,44.45,33.57,53.55,32.9,87.79,72.426,68.87
1995-09-13,42.73,47.68,47.03,59.67,44.58,33.84,53.82,32.96,87.66,73.873,68.75
1995-09-14,43.65,47.82,47.41,60.16,45.34,34.28,54.39,32.63,88.35,73.417,69.53
1995-09-15,44.28,47.89,47.75,60.24,45.65,34.32,54.62,31.68,87.9,71.872,69.58
1995-09-18,44.05,47.82,48.01,59.48,45.3,34.66,54.29,32.07,87.38,72.568,69.6
1995-09-19,43.92,47.7,48.33,59.63,45.72,34.92,53.84,32.65,86.31,71.079,69.68
1995-09-20,45.76,47.89,48.63,59.61,45.85,35.08,53.93,32.59,85.86,70.865,69.98
1995-09-21,45.15,47.55,48.62,59.24,45.22,35.69,53.55,31.96,84.97,71.296,69.75
1995-09-22,45.33,47.37,49.02,58.77,44.96,35.75,53.52,31.74,84.19,70.505,69.99
1995-09-25,45.3,47.44,49.09,58.7,45.09,36.01,53.59,31.52,84.0,70.407,70.41
1995-09-26,45.51,47.41,49.37,57.91,45.17,36.31,53.53,31.38,83.65,69.076,71.14
1995-09-27,46.02,47.12,49.3,57.95,45.32,36.34,53.04,31.26,83.38,69.954,71.58
1995-09-28,46.19,47.37,49.21,58.49,45.84,36.18,53.38,32.09,84.08,70.588,72.41
1995-09-29,46.04,47.11,49.15,58.35,45.9,36.11,53.64,31.65,84.52,69.282,72.33
1995-10-02,45.58,47.0,49.2,57.96,45.77,36.08,53.4,31.2,83.64,69.044,72.64
1995-10-03,45.42,46.68,49.72,58.22,46.13,36.73,53.06,31.2,82.53,68.886,73.16
1995-10-04,45.64,46.15,50.23,59.11,46.33,37.26,52.76,30.49,81.48,68.529,73.02
1995-10-05,45.53,46.32,49.93,58.85,46.35,37.07,52.72,30.94,82.5,68.648,72.75
1995-10-06,45.23,46.38,50.14,58.82,46.53,37.27,52.85,30.6,82.24,69.005,72.47
1995-10-09,45.4,46.0,50.2,58.71,46.35,36.91,52.4,29.72,81.31,68.008,72.71
1995-10-10,45.17,45.95,50.19,58.78,46.17,36.54,52.31,29.62,81.72,67.154,73.27
1995-10-11,45.07,45.89,50.15,58.39,46.59,36.52,52.53,30.29,81.64,67.003,73.29
1995-10-12,45.42,46.33,50.12,58.18,47.1,36.79,53.02,30.8,81.83,66.545,72.99
1995-10-13,45.18,46.45,50.23,58.8,47.42,36.9,53.35,30.71,82.29,67.708,72.71
1995-10-16,44.7,46.09,50.25,58.67,47.37,36.95,53.27,30.88,82.53,66.857,72.53
1995-10-17,45.3,46.15,50.11,58.78,47.43,36.92,53.45,31.94,82.23,67.469,72.75
1995-10-18,45.14,45.89,50.14,58.82,47.57,37.12,53.41,32.64,81.55,68.442,73.0
1995-10-19,45.55,46.03,51.17,59.07,47.14,37.56,53.77,32.81,81.4,68.832,73.55
1995-10-20,45.3,46.05,50.94,59.26,46.31,37.65,53.67,32.16,81.19,68.87,74.32
1995-10-23,45.17,45.73,50.64,58.66,46.26,37.62,53.19,32.58,79.92,68.261,74.05
1995-10-24,45.51,45.71,51.06,59.16,45.69,37.99,53.46,32.68,80.29,67.288,74.35
1995-10-25,45.39,45.38,50.87,59.18,44.75,38.03,53.19,32.14,78.93,66.773,74.49
1995-10-26,45.04,44.7,50.41,58.2,44.28,37.54,52.7,32.27,78.3,66.171,74.13
1995-10-27,45.2,44.99,50.56,57.98,44.95,37.18,52.71,32.8,79.39,66.385,73.62
1995-10-30,45.65,45.08,50.6,58.73,44.7,37.16,53.33,33.54,79.85,67.957,73.66
1995-10-31,46.01,44.93,50.61,58.76,44.5,37.05,53.36,33.11,79.32,67.835,73.1
1995-11-01,46.06,45.18,50.71,59.17,45.24,37.39,53.16,33.14,79.29,67.439,73.65
1995-11-02,46.45,46.12,50.94,58.79,45.96,37.11,54.04,33.87,79.68,68.749,73.64
1995-11-03,46.44,46.07,51.05,59.32,45.83,37.16,54.09,34.13,80.01,68.594,73.7
1995-11-06,46.33,46.26,50.71,59.18,45.79,37.09,54.32,33.59,79.78,69.203,73.06
1995-11-07,46.16,46.47,50.7,59.02,45.59,37.43,54.33,32.62,80.05,68.808,72.91
1995-11-08,46.33,46.76,51.5,60.04,46.24,37.87,54.69,32.68,80.34,68.903,73.36
1995-11-09,45.96,46.86,51.29,59.52,46.69,37.75,54.8,33.79,80.23,68.903,72.93
1995-11-10,45.79,46.88,51.28,59.37,46.51,37.51,55.13,33.76,80.41,68.507,72.62
1995-11-13,45.83,46.83,51.74,59.98,46.18,37.56,55.02,33.31,80.21,68.111,72.69
1995-11-14,45.86,46.61,51.61,59.95,45.63,37.8,54.91,32.4,80.16,67.534,72.52
1995-11-15,46.27,47.2,52.44,60.34,45.69,38.35,55.19,32.66,80.28,68.111,72.86
1995-11-16,46.38,47.31,52.92,60.97,46.29,38.26,55.97,32.55,79.99,68.507,73.43
1995-11-17,46.71,47.58,53.18,61.98,46.66,38.28,55.93,32.2,80.49,68.475,73.53
1995-11-20,46.47,47.88,53.06,61.72,46.37,38.1,55.77,31.48,80.68,67.683,73.24
1995-11-21,46.53,48.25,53.3,62.02,46.62,38.27,56.23,31.54,81.36,67.074,73.58
1995-11-22,46.35,48.35,52.75,61.18,46.6,38.07,56.28,31.19,83.07,67.742,73.01
1995-11-23,46.35,48.35,52.75,61.18,46.6,38.07,56.28,31.19,83.07,67.742,73.01
1995-11-24,46.33,48.52,52.87,61.1,46.71,37.97,56.28,31.68,83.11,67.108,73.14
1995-11-27,46.7,48.47,52.79,61.3,46.99,38.11,56.29,31.5,84.11,66.989,73.66
1995-11-28,47.29,48.44,52.91,61.34,47.14,38.51,56.76,32.6,84.15,66.908,73.61
1995-11-29,47.31,48.64,52.94,61.24,47.34,38.76,57.19,32.34,84.57,66.331,73.75
1995-11-30,46.77,48.2,52.92,60.69,47.57,39.06,57.27,31.97,84.05,67.398,73.47
1995-12-01,47.45,48.36,52.97,61.24,47.96,38.93,57.72,31.55,84.25,68.032,73.68
1995-12-04,47.99,48.61,53.39,61.99,48.81,39.56,58.0,32.04,84.96,67.059,74.3
1995-12-05,47.75,48.76,53.99,62.5,49.02,40.32,58.38,31.94,85.48,69.03,74.96
1995-12-06,47.45,48.99,54.71,62.7,49.37,40.77,58.72,31.79,85.21,71.484,75.17
1995-12-07,47.28,48.47,54.5,62.73,48.71,40.48,58.3,31.74,84.43,69.482,74.44
1995-12-08,46.92,48.51,54.43,63.26,48.69,40.43,58.08,32.56,84.15,68.533,74.38
1995-12-11,47.44,48.67,54.57,65.02,48.46,40.4,58.27,32.46,83.92,69.349,74.7
1995-12-12,47.65,48.64,54.76,65.23,48.25,40.51,58.46,31.8,83.15,68.075,74.97
1995-12-13,48.77,48.6,55.1,65.94,48.28,40.82,58.71,31.63,82.88,68.137,75.24
1995-12-14,48.28,48.55,54.97,64.63,47.56,41.17,58.23,30.68,83.07,67.226,75.34
1995-12-15,48.76,48.5,54.94,64.24,47.72,40.96,58.12,30.21,82.77,67.599,75.88
1995-12-18,48.02,47.69,53.95,62.83,46.86,40.46,57.48,29.53,81.55,66.325,76.04
1995-12-19,48.38,47.81,53.86,63.52,47.63,39.85,57.59,31.12,82.24,66.569,76.58
1995-12-20,47.83,47.56,52.44,63.28,47.35,39.52,57.2,30.4,82.01,67.303,75.98
1995-12-21,47.6,48.35,52.45,63.82,47.25,40.25,57.48,30.79,82.49,65.911,76.32
1995-12-22,48.09,48.29,52.68,64.03,47.38,40.3,57.62,31.02,82.51,66.845,76.48
1995-12-25,48.09,48.29,52.68,64.03,47.38,40.3,57.62,31.02,82.51,66.845,76.48
1995-12-26,48.04,48.23,53.19,64.12,47.66,40.64,57.8,31.18,82.76,68.39,76.62
1995-12-27,48.35,48.28,53.38,64.51,47.98,40.26,57.83,30.96,82.53,68.748,76.76
1995-12-28,48.36,48.18,53.37,64.89,47.96,40.56,57.84,30.47,82.55,68.509,77.04
1995-12-29,48.44,48.42,53.43,64.09,48.02,40.54,58.41,30.52,83.44,69.501,77.2
1996-01-01,48.44,48.42,53.43,64.09,48.02,40.54,58.41,30.52,83.44,69.501,77.2
1996-01-02,49.33,49.22,53.88,64.25,48.33,40.23,59.06,30.95,85.15,72.08,77.58
1996-01-03,50.12,49.43,54.26,64.07,48.35,40.19,59.08,30.27,85.87,72.637,77.71
1996-01-04,49.41,49.23,54.05,64.79,47.47,40.42,58.7,29.88,85.56,71.472,77.52
1996-01-05,49.69,48.78,53.66,65.95,47.21,40.03,58.74,29.86,85.47,71.089,77.88
1996-01-08,49.48,48.88,53.82,66.38,47.27,40.5,59.21,29.86,85.36,71.319,77.9
1996-01-09,48.62,48.15,53.51,65.57,46.54,40.16,58.34,28.14,84.88,70.276,78.01
1996-01-10,47.66,47.38,52.57,63.66,45.56,39.12,57.3,28.4,83.45,68.13,77.37
1996-01-11,47.96,47.78,52.65,63.98,45.94,39.14,57.64,29.27,83.73,69.3,77.42
1996-01-12,47.95,47.44,52.91,63.17,46.41,39.32,57.59,29.0,83.52,69.131,77.01
1996-01-15,48.11,47.46,52.97,62.71,46.19,39.69,57.37,27.97,82.85,69.326,77.26
1996-01-16,49.36,47.77,53.87,63.28,47.09,40.33,57.62,28.8,82.63,69.131,78.14
